Film,Genre
Natural Born Killers,Crime
Natural Born Killers,Drama
Navajo Joe,Western
Next,Action
Next,Sci-Fi
Next,Thriller
Ninja Assassin,Action
Ninja Assassin,Crime
Ninja Assassin,Thriller
No Country for Old Men,Crime
No Country for Old Men,Drama
No Country for Old Men,Thriller
Octopussy,Action
Octopussy,Adventure
Octopussy,Crime
Octopussy,Thriller
Olympus Has Fallen,Action
Olympus Has Fallen,Thriller
On Deadly Ground,Action
On Deadly Ground,Adventure
On Deadly Ground,Thriller
On Her Majesty's Secret Service,Action
On Her Majesty's Secret Service,Adventure
On Her Majesty's Secret Service,Crime
On Her Majesty's Secret Service,Romance
On Her Majesty's Secret Service,Thriller
Once Upon A Time In Mexico,Action
Once Upon A Time In Mexico,Thriller
Once a Thief,Action
Once a Thief,Comedy
Once a Thief,Crime
Operation Delta Force,Action
Operation Delta Force,Thriller
Out For Justice,Action
Out For Justice,Thriller
Out For Justice,Crime
Out For Justice,Drama
Out of Sight,Comedy
Out of Sight,Crime
Out of Sight,Romance
Out of Sight,Thriller
Pan's Labyrinth,Drama
Pan's Labyrinth,Fantasy
Pan's Labyrinth,War
Paths of Glory,Drama
Paths of Glory,War
Patriot Games,Action
Patriot Games,Crime
Patriot Games,Drama
Patriot Games,Thriller
Patton,Biography
Patton,Drama
Patton,History
Payback,Action
Payback,Crime
Payback,Drama
Payback,Thriller
Pearl Harbor,Action
Pearl Harbor,Drama
Pearl Harbor,Romance
Pearl Harbor,War
Pirates of the Caribbean: At World's End,Action
Pirates of the Caribbean: At World's End,Adventure
Pirates of the Caribbean: At World's End,Fantasy
Pirates of the Caribbean: Curse of the Black Pearl,Action
Pirates of the Caribbean: Curse of the Black Pearl,Adventure
Pirates of the Caribbean: Curse of the Black Pearl,Fantasy
Pirates of the Caribbean: Dead Man's Chest,Action
Pirates of the Caribbean: Dead Man's Chest,Adventure
Pirates of the Caribbean: Dead Man's Chest,Fantasy
Plan 9 from Outer Space,Action
Plan 9 from Outer Space,Adventure
Plan 9 from Outer Space,Horror
Plan 9 from Outer Space,Sci-Fi
Planet of the Apes,Action
Planet of the Apes,Adventure
Planet of the Apes,Sci-Fi
Platoon,Action
Platoon,Drama
Platoon,War
Platoon Leader,War
Platoon Leader,Drama
Point of No Return,Action
Point of No Return,Crime
Point of No Return,Thriller
Poseidon,Action
Poseidon,Adventure
Poseidon,Drama
Predator,Action
Predator,Adventure
Predator,Sci-Fi
Predator,Thriller
Prince of Jutland,Adventure
Prince of Jutland,Drama
Prince of Jutland,Adventure
Prince of Jutland,Drama
Pulp,Comedy
Pulp,Crime
Pulp,Drama
Pulp,Mystery
Pulp,Thriller
Pulp Fiction,Crime
Pulp Fiction,Drama
Pulp Fiction,Thriller
Punisher: War Zone,Action
Punisher: War Zone,Crime
Punisher: War Zone,Drama
Push,Action
Push,Sci-Fi
Push,Thriller
Raiders of the Lost Ark,Action
Raiders of the Lost Ark,Adventure
Rambo,Action
Rambo,Thriller
Rambo,War
Rambo III,Action
Rambo III,Adventure
Rambo III,Thriller
Rambo: First,Action
Rambo: First,War
Ran,Action
Ran,Drama
Ran,War
Raw Deal,Action
Raw Deal,Crime
Raw Deal,Thriller
Red Dawn,Action
Red Dawn,Adventure
Red Dawn,Drama
Red Planet,Sci-Fi
Red Planet,Action
Red Planet,Thriller
Red Scorpion,Action
Red Scorpion,Adventure
Red Sonja,Action
Red Sonja,Adventure
Red Sonja,Fantasy
Red Sun,Thriller
Red Sun,Western
Reign of Fire,Action
Reign of Fire,Adventure
Reign of Fire,Fantasy
Reign of Fire,Sci-Fi
Reign of Fire,Thriller
Reservoir Dogs,Crime
Reservoir Dogs,Thriller
Resident Evil: Apocalypse,Action
Resident Evil: Apocalypse,Horror
Resident Evil: Apocalypse,Sci-Fi
Resident Evil: Apocalypse,Thriller
Resident Evil: Extinction,Action
Resident Evil: Extinction,Horror
Resident Evil: Extinction,Sci-Fi
Resident Evil: Extinction,Thriller
Riders,Action
Riders,Crime
Riders,Thriller
Riders,Action
Riders,Crime
Riders,Thriller
Ripley's Game,Crime
Ripley's Game,Drama
Ripley's Game,Mystery
Ripley's Game,Thriller
Ritana,Action
Ritana,Adventure
Ritana,Sci-Fi
Road House,Action
Road House,Thriller
RoboCop,Action
RoboCop,Crime
RoboCop,Sci-Fi
RocknRolla,Action
RocknRolla,Crime
RocknRolla,Thriller
Romeo is Bleeding,Crime
Romeo is Bleeding,Drama
Romeo is Bleeding,Thriller
Ronin,Action
Ronin,Adventure
Ronin,Crime
Ronin,Thriller
Running Scared,Action
Running Scared,Crime
Running Scared,Drama
Running Scared,Thriller
Sabata,Western
Sahara,Action
Sahara,Adventure
Sahara,Comedy
Sahara,Thriller
Sahara,War
Samurai Assassin,Action
Samurai Assassin,Adventure
Samurai Assassin,Drama
Samurai I: Musashi Miyamoto,Action
Samurai I: Musashi Miyamoto,Adventure
Samurai I: Musashi Miyamoto,Biography
Saving Private Ryan,Action
Saving Private Ryan,Drama
Saving Private Ryan,War
Scarface,Crime
Scarface,Drama
Schindler's List,Biography
Schindler's List,Drama
Schindler's List,History
Screamers,Action
Screamers,Adventure
Screamers,Horror
Secret Window,Mystery
Secret Window,Thriller
Secret of NIMH,Animation
Secret of NIMH,Drama
Secret of NIMH,Family
Secret of NIMH,Fantasy
Secret of NIMH,Sci-Fi
Serenity,Action
Serenity,Adventure
Serenity,Sci-Fi
Serenity,Thriller
Seven Samurai,Action
Seven Samurai,Drama
Severance,Comedy
Severance,Horror
Severance,Thriller
Shaft,Action
Shaft,Crime
Shaft,Thriller
Shaun of the Dead,Comedy
Shaun of the Dead,Horror
Shoot 'Em Up,Action
Shoot 'Em Up,Comedy
Shoot 'Em Up,Crime
Shoot 'Em Up,Thriller
Shooter,Action
Shooter,Crime
Shooter,Drama
Showdown in,Action
Showdown in,Comedy
Showdown in,Crime
Showdown in,Thriller
Shutter Island,Drama
Shutter Island,Mystery
Shutter Island,Thriller
Signs,Drama
Signs,Sci-Fi
Signs,Thriller
Silent Trigger,Action
Silent Trigger,Drama
Silent Trigger,Thriller
Sin City,Crime
Sin City,Thriller
Sleepy Hollow,Adventure
Sleepy Hollow,Mystery
Slither,Horror
Slither,Sci-Fi
Slumdog Millionaire,Drama
Slumdog Millionaire,Romance
Slumdog Millionaire,Thriller
Smokin' Aces,Action
Smokin' Aces,Crime
Smokin' Aces,Drama
Smokin' Aces,Thriller
Snakes on a Plane,Action
Snakes on a Plane,Thriller
Snatch,Crime
Snatch,Thriller
Soldier,Action
Soldier,Drama
Soldier,Sci-Fi
Spartan,Action
Spartan,Crime
Spartan,Drama
Spartan,Mystery
Spartan,Thriller
Speed,Action
Speed,Crime
Speed,Thriller
Star Trek: First Contact,Action
Star Trek: First Contact,Adventure
Star Trek: First Contact,Sci-Fi
Star Trek: Nemesis,Action
Star Trek: Nemesis,Adventure
Star Trek: Nemesis,Sci-Fi
Star Trek: Nemesis,Thriller
Star Wars I: Phantom Menace,Action
Star Wars I: Phantom Menace,Adventure
Star Wars I: Phantom Menace,Fantasy
Star Wars I: Phantom Menace,Sci-Fi
Star Wars II: Attack of the Clones,Action
Star Wars II: Attack of the Clones,Adventure
Star Wars II: Attack of the Clones,Fantasy
Star Wars II: Attack of the Clones,Sci-Fi
Star Wars III: Revenge of the Sith,Action
Star Wars III: Revenge of the Sith,Adventure
Star Wars III: Revenge of the Sith,Fantasy
Star Wars III: Revenge of the Sith,Sci-Fi
Star Wars IV: A New Hope,Action
Star Wars IV: A New Hope,Adventure
Star Wars IV: A New Hope,Fantasy
Star Wars IV: A New Hope,Sci-Fi
Star Wars V: Empire Strikes Back,Action
Star Wars V: Empire Strikes Back,Adventure
Star Wars V: Empire Strikes Back,Sci-Fi
Star Wars VI: Return of the Jedi,Action
Star Wars VI: Return of the Jedi,Adventure
Star Wars VI: Return of the Jedi,Fantasy
Star Wars VI: Return of the Jedi,Sci-Fi
Stardust,Adventure
Stardust,Family
Stardust,Fantasy
Stardust,Romance
Stargate,Action
Stargate,Adventure
Stargate,Sci-Fi
Starship Troopers,Action
Starship Troopers,Sci-Fi
Starship Troopers 3: Marauder,Action
Starship Troopers 3: Marauder,Adventure
Starship Troopers 3: Marauder,Sci-Fi
Stone Cold,Action
Stone Cold,Crime
Stone Cold,Drama
Strange Days,Crime
Strange Days,Drama
Strange Days,Mystery
Strange Days,Sci-Fi
Strange Days,Thriller
Strange Wilderness,Comedy
Summer of Sam,Crime
Summer of Sam,Drama
Summer of Sam,Romance
Summer of Sam,Thriller
Sunshine,Adventure
Sunshine,Sci-Fi
Sunshine,Thriller
Super Mario Bros.,Adventure
Super Mario Bros.,Comedy
Super Mario Bros.,Family
Super Mario Bros.,Fantasy
Super Mario Bros.,Sci-Fi
Superman Returns,Action
Superman Returns,Adventure
Superman Returns,Fantasy
Superman Returns,Sci-Fi
Sweeney Todd: The Demon Barber of Fleet Street,Drama
Sweeney Todd: The Demon Barber of Fleet Street,Horror
Sweeney Todd: The Demon Barber of Fleet Street,Musical
Sweeney Todd: The Demon Barber of Fleet Street,Thriller
Sweepers,Action
Sweepers,Adventure
Sweepers,Drama
Swordfish,Action
Swordfish,Crime
Swordfish,Thriller
Syriana,Drama
Syriana,Thriller
TMNT,Animation
TMNT,Action
TMNT,Adventure
Tae Guk Gi: The Brotherhood of War,Action
Tae Guk Gi: The Brotherhood of War,Drama
Tae Guk Gi: The Brotherhood of War,War
Take a Hard Ride,Western
Taken,Action
Taken,Crime
Taken,Thriller
Tango & Cash,Action
Tango & Cash,Comedy
Tango & Cash,Crime
Tango & Cash,Thriller
Taxi Driver,Crime
Taxi Driver,Drama
Team America: World Police,Action
Team America: World Police,Adventure
Team America: World Police,Comedy
Team America: World Police,Music
Tears of the Sun,Action
Tears of the Sun,Drama
Tears of the Sun,Thriller
Terminator,Action
Terminator,Sci-Fi
Terminator 2: Judgment Day,Action
Terminator 2: Judgment Day,Sci-Fi
Terminator 2: Judgment Day,Thriller
Terminator 3: Rise of the Machines,Action
Terminator 3: Rise of the Machines,Sci-Fi
Terminator 3: Rise of the Machines,Thriller
Texas Rangers,Action
Texas Rangers,Adventure
Texas Rangers,Drama
The 13th Warrior,Action
The 13th Warrior,Adventure
The 13th Warrior,Fantasy
The Abominable Dr. Phibes,Fantasy
The Abominable Dr. Phibes,Horror
The Adventures of Ford Fairlane,Action
The Adventures of Ford Fairlane,Adventure
The Adventures of Ford Fairlane,Comedy
The Adventures of Ford Fairlane,Music
The Alamo,Drama
The Alamo,History
The Alamo,War
The Bank Job,Crime
The Bank Job,Drama
The Bank Job,Thriller
The Big Hit,Action
The Big Hit,Comedy
The Big Hit,Crime
The Big Hit,Thriller
The Big Red One,Action
The Big Red One,Drama
The Big Red One,War
The Black Dahlia,Crime
The Black Dahlia,Drama
The Black Dahlia,Mystery
The Black Dahlia,Thriller
The Boondock Saints,Action
The Boondock Saints,Crime
The Boondock Saints,Thriller
The Bourne Identity,Action
The Bourne Identity,Mystery
The Bourne Identity,Thriller
The Bourne Supremacy,Action
The Bourne Supremacy,Crime
The Bourne Supremacy,Thriller
The Bourne Ultimatum,Action
The Bourne Ultimatum,Crime
The Bourne Ultimatum,Thriller
The Chronicles of Narnia: Prince Caspian,Action
The Chronicles of Narnia: Prince Caspian,Adventure
The Chronicles of Narnia: Prince Caspian,Family
The Chronicles of Riddick,Action
The Chronicles of Riddick,Adventure
The Chronicles of Riddick,Sci-Fi
The Chronicles of Riddick,Thriller
The Constant Gardener,Drama
The Constant Gardener,Mystery
The Constant Gardener,Thriller
The Corruptor,Action
The Corruptor,Crime
The Corruptor,Drama
The Corruptor,Mystery
The Corruptor,Thriller
The Count of Monte Cristo,Action
The Count of Monte Cristo,Adventure
The Count of Monte Cristo,Drama
The Count of Monte Cristo,History
The Count of Monte Cristo,Romance
The Count of Monte Cristo,Thriller
The Crow,Action
The Crow,Fantasy
The Crucible,Drama
The Crucible,History
The Dark Knight,Action
The Dark Knight,Crime
The Dark Knight,Drama
The Dark Knight,Thriller
The Day After Tomorrow,Action
The Day After Tomorrow,Adventure
The Day After Tomorrow,Sci-Fi
The Departed,Crime
The Departed,Drama
The Departed,Thriller
The Devil's Rejects,Horror
The Evil Dead III:,Comedy
The Evil Dead III:,Fantasy
The Evil Dead III:,Horror
The Evil Dead III: Army of Darkness,Comedy
The Evil Dead III: Army of Darkness,Fantasy
The Evil Dead III: Army of Darkness,Horror
The Expendables,Action
The Expendables,Adventure
The Expendables,Thriller
The Fifth Element,Action
The Fifth Element,Adventure
The Fifth Element,Sci-Fi
The Fly 2,Horror
The Fly 2,Sci-Fi
The Fog,Horror
The French Connection,Action
The French Connection,Crime
The French Connection,Thriller
The Fugitive,Action
The Fugitive,Adventure
The Fugitive,Crime
The Fugitive,Mystery
The Fugitive,Thriller
The Good Shepherd,Drama
The Good Shepherd,History
The Good Shepherd,Thriller
"The Good, the Bad and the Ugly",Crime
"The Good, the Bad and the Ugly",Drama
"The Good, the Bad and the Ugly",Mystery
The Great Raid,Action
The Great Raid,Drama
The Great Raid,War
The Great Silence,Western
The Guardian,Action
The Guardian,Adventure
The Guardian,Drama
The Hunt for Red October,Action
The Hunt for Red October,Adventure
The Hunt for Red October,Thriller
The Hunted,Action
The Hunted,Drama
The Hunted,Thriller
The Hunted,Action
The Hunted,Crime
The Hunted,Drama
The Incredible Hulk,Action
The Incredible Hulk,Sci-Fi
The Incredible Hulk,Thriller
The Incredibles,Animation
The Incredibles,Action
The Incredibles,Adventure
The Incredibles,Family
The International,Action
The International,Crime
The International,Drama
The International,Mystery
The International,Thriller
The Island,Action
The Island,Adventure
The Island,Sci-Fi
The Island,Thriller
The Jackal,Action
The Jackal,Adventure
The Jackal,Crime
The Jackal,Thriller
The Killer,Action
The Killer,Crime
The Killer,Thriller
The Ladykillers,Comedy
The Ladykillers,Crime
The Ladykillers,Thriller
The Last Boy Scout,Action
The Last Boy Scout,Comedy
The Last Boy Scout,Crime
The Last Boy Scout,Mystery
The Last Boy Scout,Thriller
The Last House on the Left,Crime
The Last House on the Left,Drama
The Last House on the Left,Thriller
The Last Samurai,Action
The Last Samurai,Drama
The Last Samurai,History
The Last Samurai,War
The Last of the Mohicans,Action
The Last of the Mohicans,Adventure
The Last of the Mohicans,Drama
The Last of the Mohicans,History
The Last of the Mohicans,Romance
The Last of the Mohicans,War
The Legend,Action
The Legend,Comedy
The Legend,History
The Legend II,Action
The Legend II,Adventure
The Legend II,Comedy
The Legend of Zorro,Action
The Legend of Zorro,Adventure
The Legend of Zorro,Western
The Long Kiss Goodnight,Action
The Long Kiss Goodnight,Crime
The Long Kiss Goodnight,Drama
The Long Kiss Goodnight,Mystery
The Long Kiss Goodnight,Thriller
The Lookout,Crime
The Lookout,Drama
The Lookout,Thriller
The Lost City,Drama
The Machine Girl,Comedy
The Machine Girl,Horror
The Machine Girl,Thriller
The Magnificent Seven,Western
The Man with the Golden Gun,Action
The Man with the Golden Gun,Adventure
The Man with the Golden Gun,Crime
The Man with the Golden Gun,Thriller
The Mask of Zorro,Action
The Mask of Zorro,Adventure
The Mask of Zorro,Comedy
The Mask of Zorro,Romance
The Mask of Zorro,Thriller
The Mask of Zorro,Western
The Matrix,Action
The Matrix,Adventure
The Matrix,Sci-Fi
The Messenger: The Story of Joan of Arc,Adventure
The Messenger: The Story of Joan of Arc,Biography
The Messenger: The Story of Joan of Arc,Drama
The Mist,Horror
The Mist,Sci-Fi
The Mist,Thriller
The Mummy,Action
The Mummy,Adventure
The Mummy,Fantasy
The Mummy Returns,Action
The Mummy Returns,Adventure
The Mummy Returns,Fantasy
The Musketeer,Action
The Musketeer,Drama
The Musketeer,Adventure
The Musketeer,Romance
The New World,Biography
The New World,Drama
The New World,History
The New World,Romance
The Number 23,Drama
The Number 23,Mystery
The Number 23,Thriller
The Omen,Horror
The Omen,Mystery
The Omen,Thriller
The Outlaw Josey Wales,Western
The Patriot,Action
The Patriot,Thriller
The Patriot,Action
The Patriot,Drama
The Patriot,War
The Phantom of the Opera,Drama
The Phantom of the Opera,Musical
The Phantom of the Opera,Romance
The Pianist,Biography
The Pianist,Drama
The Pianist,History
The Prestige,Drama
The Prestige,Mystery
The Prestige,Thriller
The Punisher,Action
The Punisher,Crime
The Punisher,Drama
The Punisher,Action
The Punisher,Crime
The Punisher,Drama
The Replacement Killers,Action
The Replacement Killers,Crime
The Replacement Killers,Drama
The Replacement Killers,Thriller
The Rock,Action
The Rock,Adventure
The Rock,Thriller
The Rundown,Action
The Rundown,Adventure
The Rundown,Comedy
The Rundown,Thriller
The Running Man,Action
The Running Man,Sci-Fi
The Running Man,Thriller
The Scorpion King,Action
The Scorpion King,Adventure
The Scorpion King,Fantasy
The Scorpion King,Thriller
The Shawshank Redemption,Crime
The Shawshank Redemption,Drama
The Signal,Horror
The Signal,Sci-Fi
The Signal,Thriller
The Silence of the Lambs,Crime
The Silence of the Lambs,Drama
The Silence of the Lambs,Thriller
The Spy Who Loved Me,Action
The Spy Who Loved Me,Adventure
The Spy Who Loved Me,Crime
The Spy Who Loved Me,Thriller
The Sword of Doom,Action
The Sword of Doom,Drama
The Thin Red Line,Drama
The Thin Red Line,War
The Thing,Horror
The Thing,Mystery
The Thing,Sci-Fi
The Thing,Thriller
The Third Man,Film-Noir
The Third Man,Mystery
The Third Man,Thriller
The Transporter,Action
The Transporter,Crime
The Transporter,Thriller
The Tripper,Horror
The Usual Suspects,Crime
The Usual Suspects,Mystery
The Usual Suspects,Thriller
The Way of the Gun,Action
The Way of the Gun,Crime
The Way of the Gun,Drama
The Way of the Gun,Thriller
The Wild Bunch,Western
The Yakuza,Action
The Yakuza,Crime
The Yakuza,Drama
The Yakuza,Thriller
The Yards,Crime
The Yards,Drama
The Yards,Romance
The Yards,Thriller
There Will Be Blood,Drama
Things to Do in Denver When You're Dead,Crime
Things to Do in Denver When You're Dead,Drama
Three the Hard Way,Action
Three the Hard Way,Thriller
Thunderball,Action
Thunderball,Adventure
Thunderball,Crime
Thunderball,Thriller
Timeline,Action
Timeline,Adventure
Timeline,Sci-Fi
Titanic,Drama
Titanic,Romance
To Die For,Comedy
To Die For,Crime
To Die For,Drama
Tombstone,Action
Tombstone,Drama
Tombstone,History
Tombstone,Romance
Tombstone,Western
Tomorrow Never Dies,Action
Tomorrow Never Dies,Adventure
Tomorrow Never Dies,Crime
Total Recall,Action
Total Recall,Adventure
Total Recall,Sci-Fi
Transformers,Action
Transformers,Adventure
Transformers,Sci-Fi
Transformers: The Movie,Animation
Transformers: The Movie,Action
Transformers: The Movie,Adventure
Transformers: The Movie,Family
Transformers: The Movie,Sci-Fi
Transporter 2,Action
Transporter 2,Crime
Transporter 2,Thriller
Troy,Adventure
Troy,Drama
True Lies,Action
True Lies,Thriller
True Romance,Crime
True Romance,Thriller
Two Mules for Sister Sara,Adventure
Two Mules for Sister Sara,Comedy
Two Mules for Sister Sara,War
UHF,Comedy
Unbreakable,Drama
Unbreakable,Mystery
Unbreakable,Sci-Fi
Unbreakable,Thriller
Under Siege,Action
Under Siege,Thriller
Under Siege 2,Action
Under Siege 2,Thriller
Underworld,Action
Underworld,Fantasy
Underworld,Thriller
Underworld: Evolution,Action
Underworld: Evolution,Fantasy
Underworld: Evolution,Sci-Fi
Underworld: Evolution,Thriller
Universal Soldier,Action
Universal Soldier,Drama
Universal Soldier,Sci-Fi
Van Helsing,Action
Van Helsing,Adventure
Van Helsing,Fantasy
Waist Deep,Action
Waist Deep,Crime
Waist Deep,Drama
Waist Deep,Thriller
Walk Hard: The Dewey Cox Story,Comedy
Walk Hard: The Dewey Cox Story,Drama
Walk Hard: The Dewey Cox Story,Music
Walking Tall,Action
Walking Tall,Crime
Wanted,Action
Wanted,Crime
Wanted,Thriller
War,Action
War,Crime
War,Thriller
War of the Worlds,Documentary
War of the Worlds,History
"War, Inc.",Action
"War, Inc.",Comedy
"War, Inc.",Thriller
Warriors of the Wasteland ,Action
Warriors of the Wasteland ,Sci-Fi
Warriors of the Wasteland ,Thriller
Wasabi,Action
Wasabi,Drama
Wasabi,Comedy
Wasabi,Crime
Wasabi,Thriller
Watchmen,Action
Watchmen,Drama
Watchmen,Mystery
Waterloo,Action
Waterloo,Drama
Waterloo,History
Waterworld,Action
Waterworld,Adventure
Waterworld,Sci-Fi
We Were Soldiers,Action
We Were Soldiers,Drama
We Were Soldiers,History
We Were Soldiers,War
Where Eagles Dare,Action
Where Eagles Dare,Adventure
Where Eagles Dare,War
Wild Wild West,Action
Wild Wild West,Western
Wild Wild West,Comedy
Windtalkers,Action
Windtalkers,Drama
Windtalkers,War
Yojimbo,Action
Yojimbo,Adventure
You Kill Me,Comedy
You Kill Me,Crime
You Kill Me,Romance
You Kill Me,Thriller
You Only Live Twice,Action
You Only Live Twice,Adventure
You Only Live Twice,Crime
You Only Live Twice,Thriller
Zatoichi,Action
Zatoichi,Comedy
Zatoichi,Crime
Zodiac,Crime
Zodiac,Drama
Zodiac,Mystery
Zodiac,Thriller
Zombieland,Comedy
Zombieland,Horror
Zoolander,Comedy
Zulu,Drama
Zulu,History
Zulu,War
